year,month,day,kpx_power,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,67000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,84000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,84500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,84500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,70300,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,66500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,7,85100,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,8,84500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,9,86200,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,10,85000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,11,84500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,12,68500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,13,64400,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,14,82400,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,15,83500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,16,85500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,17,85000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,18,85000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,19,85000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,20,68100,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,21,65500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,22,83400,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,23,83100,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,24,83400,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,25,83500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,26,83400,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,27,69800,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,28,66000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,29,82000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,30,83000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,31,82500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,1,82000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,2,66500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,3,61300,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,4,58900,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,5,56800,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,6,60100,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,7,76400,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,8,78500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,9,67000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,10,64500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,11,82600,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,12,80500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,13,82000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,14,80000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,15,79500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,16,67700,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,17,65000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,18,81500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,19,82500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,20,80900,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,21,79300,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,22,78500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,23,64300,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,24,61000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,25,76500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,26,76500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,27,77000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,28,76000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,1,64200,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,2,61300,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,3,59500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,4,74700,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,5,74000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,6,73500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,7,74000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,8,73500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,62100,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,10,58400,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,11,73000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,12,72000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,13,72000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,14,72500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,15,72500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,16,63500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,17,59800,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,18,73400,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,19,72500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,20,73000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,21,73000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,22,72500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,23,62500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,24,60000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,25,71800,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,26,71500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,27,70500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,28,71000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,29,70500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,30,60500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,31,59500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,1,71100,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,2,70500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,3,70000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,4,69000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,5,68200,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,6,59500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,7,57300,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,8,67800,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,9,67000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,10,67000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,11,66500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,12,66000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,13,59000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,14,57800,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,15,66700,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,16,66500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,17,66000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,18,66500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,19,65500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,20,57700,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,21,56300,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,22,65400,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,23,66000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,24,67000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,25,66500,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,26,67000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,27,58700,,,,,,,,,,,,,,,,,,,,,,,,,
